1|4|0|234|83
2|4|0|684|237
1|4|0|306|111
1|4|0|385|136
1|4|0|459|162
1|4|0|535|185
1|4|0|609|209
1|4|0|759|209
1|4|0|835|183
1|4|0|907|158
1|4|0|986|134
1|4|0|1058|109
1|4|0|1136|84
1|4|2|235|185
1|4|2|306|208
1|4|2|384|233
1|4|2|458|261
1|4|2|607|309
1|4|2|687|335
1|4|2|760|308
1|4|2|908|262
1|4|2|985|235
1|4|2|1058|208
1|4|2|1136|187
2|4|2|532|284
2|4|2|836|286
1|4|4|235|286
1|4|4|385|337
1|4|4|535|385
1|4|4|684|434
1|4|4|833|384
1|4|4|982|336
1|4|4|1136|283
2|4|4|308|311
2|4|4|457|360
2|4|4|608|411
2|4|4|758|408
2|4|4|909|358
2|4|4|1058|309
